   105   107   113   122   133   146   161   176   193   210   228   246   264   282   301   319   338   357   375   394   412   430   448   466   482   498   513   526   536   543   545   543   536   526   513   498   482   466   448   430   412   394   375   357   338   319   301   282   264   246   228   210   193   176   161   146   133   122   113   107
   126   128   132   140   149   160   173   187   202   218   234   251   268   285   303   320   338   355   373   390   407   424   441   456   471   485   498   509   517   522   524   522   517   509   498   485   471   456   441   424   407   390   373   355   338   320   303   285   268   251   234   218   202   187   173   160   149   140   132   128
   147   148   152   158   166   176   187   200   213   227   242   257   273   289   305   321   338   354   370   386   402   417   432   446   459   471   482   491   497   502   503   502   497   491   482   471   459   446   432   417   402   386   370   354   338   321   305   289   273   257   242   227   213   200   187   176   166   158   152   148
   168   169   172   177   184   192   202   213   225   237   250   264   278   293   307   322   337   352   366   381   395   408   422   434   445   456   465   472   478   481   482   481   478   472   465   456   445   434   422   408   395   381   366   352   337   322   307   293   278   264   250   237   225   213   202   192   184   177   172   169
   189   190   192   196   202   209   217   227   237   248   259   271   284   297   310   323   336   349   362   375   387   399   411   421   431   440   447   453   458   460   461   460   458   453   447   440   431   421   411   399   387   375   362   349   336   323   310   297   284   271   259   248   237   227   217   209   202   196   192   190
   210   211   213   216   221   226   233   241   250   259   269   279   290   301   312   323   335   346   357   368   379   389   399   408   416   423   429   434   437   440   440   440   437   434   429   423   416   408   399   389   379   368   357   346   335   323   312   301   290   279   269   259   250   241   233   226   221   216   213   211
   231   231   233   236   239   244   249   256   263   270   278   287   296   305   315   324   333   343   352   361   370   378   386   393   400   406   410   414   417   419   419   419   417   414   410   406   400   393   386   378   370   361   352   343   333   324   315   305   296   287   278   270   263   256   249   244   239   236   233   231
   252   252   253   256   258   262   266   271   276   282   289   295   302   310   317   324   332   339   347   354   361   367   373   379   384   388   392   395   397   398   398   398   397   395   392   388   384   379   373   367   361   354   347   339   332   324   317   310   302   295   289   282   276   271   266   262   258   256   253   252
   273   273   274   275   277   280   283   286   290   294   299   304   309   314   319   325   330   336   341   346   351   355   360   364   367   370   373   375   376   377   377   377   376   375   373   370   367   364   360   355   351   346   341   336   330   325   319   314   309   304   299   294   290   286   283   280   277   275   274   273
   294   294   294   295   296   298   300   302   304   307   309   312   315   319   322   325   328   332   335   338   341   343   346   348   350   352   354   355   356   356   357   356   356   355   354   352   350   348   346   343   341   338   335   332   328   325   322   319   315   312   309   307   304   302   300   298   296   295   294   294
   315   315   315   315   316   316   317   317   318   319   320   321   322   323   324   325   326   327   328   329   330   331   332   333   334   334   335   335   335   336   336   336   335   335   335   334   334   333   332   331   330   329   328   327   326   325   324   323   322   321   320   319   318   317   317   316   316   315   315   315
